artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Geoff Berner,http://www.bandsintown.com/GeoffBerner,2011-04-05T19:00:00,St.Gallen,http://www.bandsintown.com/event/4172888?app_id=epfl,http://www.bandsintown.com/venue/1036518,St.Gallen,47.42521,9.3818074,La Buena Onda,4172888,1036518
Abrasive Wheels,http://www.bandsintown.com/AbrasiveWheels,2011-04-06T19:00:00,Geneva,http://www.bandsintown.com/event/4112713?app_id=epfl,http://www.bandsintown.com/venue/119670,Geneva,46.203938,6.136453,L'Usine / PTR,4112713,119670
Avant-Première,http://www.bandsintown.com/Avant-Premi%C3%A8re,2011-04-06T19:30:00,,http://www.bandsintown.com/event/4264848?app_id=epfl,http://www.bandsintown.com/venue/1065080,Nyon,46.381754,6.226394,Théâtre de Marens,4264848,1065080
Aaron,http://www.bandsintown.com/Aaron,2011-04-06T19:00:00,BE,http://www.bandsintown.com/event/4141180?app_id=epfl,http://www.bandsintown.com/venue/298981,Berne,46.9562492,7.43782,Bierhuebeli,4141180,298981
Oncle Ben,http://www.bandsintown.com/OncleBen,2011-04-06T19:00:00,Switzerland,http://www.bandsintown.com/event/4118735?app_id=epfl,http://www.bandsintown.com/venue/846481,Crans-Montana,46.311859,7.47875,Festival Caprices,4118735,846481
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,2011-04-06T19:30:00,BE,http://www.bandsintown.com/event/4264849?app_id=epfl,http://www.bandsintown.com/venue/306299,Berne,46.96103,7.43941,Marians JazzRoom,4264849,306299
Kirsty McGee,http://www.bandsintown.com/KirstyMcgee,2011-04-06T20:00:00,05,http://www.bandsintown.com/event/4212599?app_id=epfl,http://www.bandsintown.com/venue/1027405,Bern,46.9166667,7.4666667,ONO,4212599,1027405
Christina Stürmer,http://www.bandsintown.com/ChristinaSt%C3%BCrmer,2011-04-06T20:00:00,Canton Of Solothurn,http://www.bandsintown.com/event/4033931?app_id=epfl,http://www.bandsintown.com/venue/833080,Solothurn,47.210541,7.53692,Kulturfabrik Kofmehl,4033931,833080
Cindy Santos,http://www.bandsintown.com/CindySantos,2011-04-06T21:00:00,Switzerland,http://www.bandsintown.com/event/4200735?app_id=epfl,http://www.bandsintown.com/venue/1044025,Crans,46.305389,7.46338,Caprices Festival,4200735,1044025
Noah23,http://www.bandsintown.com/Noah23,2011-04-06T21:00:00,,http://www.bandsintown.com/event/4158803?app_id=epfl,http://www.bandsintown.com/venue/971353,Bern,46.9529358,7.4403401,Tojo Theater Reitschule,4158803,971353
Joachim Garraud,http://www.bandsintown.com/JoachimGarraud,2011-04-06T23:00:00,,http://www.bandsintown.com/event/4111720?app_id=epfl,http://www.bandsintown.com/venue/1017130,Crans Montana,46.30762,7.47371,Caprices Festival,4111720,1017130
