,Artist,City,Date,Genre,Venue,origin
232,DJ Thomas,,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Villa Loca Restaurant & Bar,
233,Big Bang Bingo Showcase, Zürich,2016-12-31,Electronic,Tibits / NZZ Bistro,
234,Jimi Jules, Bern,2016-12-31,Electronic,Kapitel Bollwerk,
235,DJ Adrian Bergmann, Bern,2016-12-31,Electronic,Kapitel Bollwerk,
236,Ab 16 Jahren, Solothurn,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl,
237,DJ Lucky G., Lausanne,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Bleu Lezard,
238,DJs Big Boys, Baden,2016-12-31,"Hip Hop, R'n'B",Kiste,
239,Flexstreetboys, Baden,2016-12-31,"Hip Hop, R'n'B",Kiste,
240,Curtis Bleu, Baden,2016-12-31,"Hip Hop, R'n'B",Kiste,
241,Delakeyz, Baden,2016-12-31,"Hip Hop, R'n'B",Kiste,
242,MDMO, Baden,2016-12-31,"Hip Hop, R'n'B",Kiste,
243,DJ Romeo, Rorschach,2016-12-30,"Ragga, Reggae, African Music, Dancehall",Seerestaurant,Cuba
244,DJ Grillmaster W, Zürich,2016-12-30,"Rock, Indie, Punk, Heavy Metal, Gothic",Big Ben Westside,
245,DJ Skoob, Bern,2016-12-30,"Hip Hop, R'n'B",Propeller-Bar,
246,DJ Theo, Luzern,2016-12-30,"Ragga, Reggae, African Music, Dancehall",Grand Casino Luzern,
247,Ziggy Zaggy & the Disco Popes, Zürich,2016-12-30,Pop,Bar Rossi,
248,Brynn, Luzern,2016-12-30,Pop,Madeleine,
249,The Tarantinos, Thun,2016-12-29,"Rock, Indie, Punk, Heavy Metal, Gothic",Mokka,
250,DJ Rizzo Musix, Zürich,2016-12-29,"Hip Hop, R'n'B",Akt Niederdorf,
251,DJ Tschuppi, Luzern,2016-12-29,"Rock, Indie, Punk, Heavy Metal, Gothic",Tschuppi's Wonderbar,
252,DJs Sweep, Luzern,2016-12-29,"Hip Hop, R'n'B",Roadhouse,
253,Pfund 500, Luzern,2016-12-29,"Hip Hop, R'n'B",Roadhouse,
254,DJ Theo, Luzern,2016-12-29,"Ragga, Reggae, African Music, Dancehall",Schüür,
255,Tequila Boys, Bern,2016-12-29,Pop,ISC Club,
256,Fake Drake, Zürich,2016-12-28,"Hip Hop, R'n'B",Zukunft,
257,Evelinn Trouble plays the songs of Drake, Zürich,2016-12-28,"Hip Hop, R'n'B",Zukunft,
258,Manillio, Schwarzenburg,2016-12-28,Pop,MZA Pöschen,
259,Yarn feat. L'Effondras & Herr Geisha And The Boobs, Bern,2016-12-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Spinnerei,
260,Happy Sound, Zürich,2016-12-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Bierhalle Wolf,
261,DJ Aystep, Zürich,2016-12-27,"Hip Hop, R'n'B",Club Flamingo,
262,DJ Classic, Zürich,2016-12-26,"Hip Hop, R'n'B",Vior Club,
263,DJ Don Luca, Luzern,2016-12-26,"Hip Hop, R'n'B",Roadhouse,
264,DJs Metino,,2016-12-26,"Hip Hop, R'n'B",Trischli Club,
265,Crazy,,2016-12-26,"Hip Hop, R'n'B",Trischli Club,
266,DJ Jay-K, Bern,2016-12-26,"Hip Hop, R'n'B",Le Ciel,
267,DJ Leclerc, Lausanne,2016-12-25,"Rock, Indie, Punk, Heavy Metal, Gothic",D! Club,
268,ILB DJ-Crew,,2016-12-25,"Hip Hop, R'n'B",Elephant Club,
269,DJs Marcus Gram, Lausanne,2016-12-25,"Hip Hop, R'n'B",Mad,
270,Wild Pich, Lausanne,2016-12-25,"Hip Hop, R'n'B",Mad,
271,Don Pepe, Lausanne,2016-12-25,"Hip Hop, R'n'B",Mad,
272,Christmas edition, Lausanne,2016-12-25,"Hip Hop, R'n'B",Mad,
273,DJs Wood Nox & Eric Santana, Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,Netherlands
274,I-Scratch, Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,
275,Dany Rich, Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,
276,Bordy Dee, Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,
277,Mc B, Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,
278,Mc Jay Jr., Zürich,2016-12-25,"Hip Hop, R'n'B",Q Zurich,
279,Q-No, Zürich,2016-12-24,"Ragga, Reggae, African Music, Dancehall",Club Silbando,
280,DJ Replay M, Zürich,2016-12-24,"Hip Hop, R'n'B",Akt Niederdorf,
281,Jean-Claude & Mystes System, Bern,2016-12-24,Electronic,Dampfzentrale,
282,DJ Philippe Fierce, Zürich,2016-12-24,"Hip Hop, R'n'B",Nelson Pub Zürich,
283,DJs Hermes Conrad, Winterthur,2016-12-24,"Hip Hop, R'n'B",Kraftfeld,
284,Tumult Crew, Winterthur,2016-12-24,"Hip Hop, R'n'B",Kraftfeld,
285,Flatrate Zero Combo, Bern,2016-12-24,"Hip Hop, R'n'B",ISC Club,
286,DJs K-Rim, Zürich,2016-12-24,"Hip Hop, R'n'B",Jade Club,
287,O-Kay, Zürich,2016-12-24,"Hip Hop, R'n'B",Jade Club,
288,DJs DNO, Zürich,2016-12-23,"Hip Hop, R'n'B",Vior Club,
289,Dizzy, Zürich,2016-12-23,"Hip Hop, R'n'B",Vior Club,
