artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
the Harlem Kingston Express,http://www.bandsintown.com/TheHarlemKingstonExpress,8.53397,3667632,912341,Zurich,25,47.374458,2010-10-28T19:30:00,http://www.bandsintown.com/event/3667632?app_id=epfl,http://www.bandsintown.com/venue/912341,Theaterhaus Gessnerallee
JazzNoJazz,http://www.bandsintown.com/JazzNoJazz,8.53397,3667632,912341,Zurich,25,47.374458,2010-10-28T19:30:00,http://www.bandsintown.com/event/3667632?app_id=epfl,http://www.bandsintown.com/venue/912341,Theaterhaus Gessnerallee
Obszön Geschöpf,http://www.bandsintown.com/Obsz%C3%B6nGesch%C3%B6pf,7.58768,3524405,870938,Basel-City,Switzerland,47.54874,2010-10-28T20:00:00,http://www.bandsintown.com/event/3524405?app_id=epfl,http://www.bandsintown.com/venue/870938,BOOK US
THEATER BASEL,http://www.bandsintown.com/TheaterBasel,7.6,3905107,298979,Basel,04,47.5666667,2010-10-28T20:00:00,http://www.bandsintown.com/event/3905107?app_id=epfl,http://www.bandsintown.com/venue/298979,Theatre Basel
My Heart Belongs to Cecilia Winter,http://www.bandsintown.com/MyHeartBelongsToCeciliaWinter,8.7222841,3907931,147243,Winterthur,25,47.4975354,2010-10-28T20:00:00,http://www.bandsintown.com/event/3907931?app_id=epfl,http://www.bandsintown.com/venue/147243,Salzhaus
Dan Berglund,http://www.bandsintown.com/DanBerglund,8.5322199,3667633,336046,Zurich,ZH,47.3725319,2010-10-28T20:00:00,http://www.bandsintown.com/event/3667633?app_id=epfl,http://www.bandsintown.com/venue/336046,ewz-Unterwerk Selnau
Jazzkantine,http://www.bandsintown.com/Jazzkantine,8.5322199,3667633,336046,Zurich,ZH,47.3725319,2010-10-28T20:00:00,http://www.bandsintown.com/event/3667633?app_id=epfl,http://www.bandsintown.com/venue/336046,ewz-Unterwerk Selnau
Abba Gold,http://www.bandsintown.com/AbbaGold,9.277939,3660742,773033,Herisau,Switzerland,47.384624,2010-10-28T20:00:00,http://www.bandsintown.com/event/3660742?app_id=epfl,http://www.bandsintown.com/venue/773033,Casino Herisau
Alex Amsterdam,http://www.bandsintown.com/AlexAmsterdam,9.37797,3748563,939430,Romanshorn,Switzerland,47.565708,2010-10-28T21:00:00,http://www.bandsintown.com/event/3748563?app_id=epfl,http://www.bandsintown.com/venue/939430,Papyrus Bar
Sybreed,http://www.bandsintown.com/Sybreed,6.244082,3681565,313886,Nyon,Etr,46.38376,2010-10-29T19:00:00,http://www.bandsintown.com/event/3681565?app_id=epfl,http://www.bandsintown.com/venue/313886,USINE A GAZ
Benighted,http://www.bandsintown.com/Benighted,6.244082,3681565,313886,Nyon,Etr,46.38376,2010-10-29T19:00:00,http://www.bandsintown.com/event/3681565?app_id=epfl,http://www.bandsintown.com/venue/313886,USINE A GAZ
Sideburn,http://www.bandsintown.com/Sideburn,6.67119,3691605,169999,Cheseaux-Noréaz,Switzerland,46.781797,2010-10-29T19:00:00,http://www.bandsintown.com/event/3691605?app_id=epfl,http://www.bandsintown.com/venue/169999,Amalgame Club
Ben l'Oncle Soul,http://www.bandsintown.com/BenL%27oncleSoul,6.61819,3669381,289098,Lausanne,Switzerland,46.522385,2010-10-29T19:00:00,http://www.bandsintown.com/event/3669381?app_id=epfl,http://www.bandsintown.com/venue/289098,Le Docks
The Arrs,http://www.bandsintown.com/TheArrs,6.136453,3779781,119670,Geneva,Geneva,46.203938,2010-10-29T19:30:00,http://www.bandsintown.com/event/3779781?app_id=epfl,http://www.bandsintown.com/venue/119670,L'Usine / PTR
