name,genre,origin,ambigous_result,no_result
DJ Scarlett,Pop,,,
DJ Jazzylized,"Hip Hop, R'n'B",,,
Worst Family,"Hip Hop, R'n'B",,,
Faber,Pop,,,
Am Kap & Donnie Darksome,Pop,,,
Manolo Panic,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Live: Winston Francis,"Rock, Indie, Punk, Heavy Metal, Gothic",Jamaica,,
Rude Rich & The High Notes,"Rock, Indie, Punk, Heavy Metal, Gothic",Netherlands,,
After-Party: Ba Ba Boom Alstar DJs,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Nick Africano & David Hope,Pop,,,
Niculin Janett Quartet feat. Rich Perry,"Jazz, Blues, Soul",,,
Rich Perry,"Jazz, Blues, Soul",,,
Lisa Hoppe,"Jazz, Blues, Soul",,,
Claudio Strüby,"Jazz, Blues, Soul",,,
I Cut Out Your Name,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Heritage Of Unres,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Piano Süd Trio,"Jazz, Blues, Soul",,,
Antonello Messina,"Jazz, Blues, Soul",,,
Luca Lo Bianco,"Jazz, Blues, Soul",,,
Silvano Borzacchiello,"Jazz, Blues, Soul",,,
Deborah Rosenkranz,Pop,,,
Michael Schlierf,Pop,,,
Vale Tudo,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Giving,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Def Cue,"Hip Hop, R'n'B",,,
Soul Madison,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Luzerner Musikstudenten,"Jazz, Blues, Soul",,,
José Scarabello,Pop,,,
Erich Fischer Quartett,"Jazz, Blues, Soul",,,
Vasko Atanasovski,"Jazz, Blues, Soul",,,
Erich Fischer,"Jazz, Blues, Soul",,,
Silvan Jeger,"Jazz, Blues, Soul",,,
Benno Kaiser,"Jazz, Blues, Soul",,,
Hier spricht Paul,Pop,,,
Levin,Pop,,,
Open Season,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Laurence Jones,"Jazz, Blues, Soul",United Kingdom,,
Andy Egert Blues Band,"Jazz, Blues, Soul",,,
