Artist,Date,Genre,Venue,City
"Fake Drake, Evelinn Trouble plays the songs of Drake",2016-12-28,"Hip Hop, R'n'B",Zukunft, Zürich
Manillio,2016-12-28,Pop,MZA Pöschen, Schwarzenburg
Yarn feat. L'Effondras & Herr Geisha And The Boobs,2016-12-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Spinnerei, Bern
Happy Sound,2016-12-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Bierhalle Wolf, Zürich
"Sinfonia Ensemble, Leitung: Christof Escher, Neuvertonung von Armin Brunner, Stummfilm-Regie: Rudolf Dworsky & Rudolf Walther-Fein (1923)",2016-12-27,Classic,Theater Rigiblick, Zürich
DJ Aystep,2016-12-27,"Hip Hop, R'n'B",Club Flamingo, Zürich
DJ Classic,2016-12-26,"Hip Hop, R'n'B",Vior Club, Zürich
DJ Don Luca,2016-12-26,"Hip Hop, R'n'B",Roadhouse, Luzern
"DJs Metino (A), Crazy",2016-12-26,"Hip Hop, R'n'B",Trischli Club,
"DJ Jay-K, ab 21 Jahren",2016-12-26,"Hip Hop, R'n'B",Le Ciel, Bern
DJ Leclerc,2016-12-25,"Rock, Indie, Punk, Heavy Metal, Gothic",D! Club, Lausanne
ILB DJ-Crew,2016-12-25,"Hip Hop, R'n'B",Elephant Club,
"DJs Marcus Gram, Wild Pich, Don Pepe, Christmas edition",2016-12-25,"Hip Hop, R'n'B",Mad, Lausanne
"DJs Wood Nox & Eric Santana (NL), I-Scratch, Dany Rich, Bordy Dee, Mc B, Mc Jay Jr.",2016-12-25,"Hip Hop, R'n'B",Q Zurich, Zürich
Q-No,2016-12-24,"Ragga, Reggae, African Music, Dancehall",Club Silbando, Zürich
DJ Replay M,2016-12-24,"Hip Hop, R'n'B",Akt Niederdorf, Zürich
Jean-Claude & Mystes System,2016-12-24,Electronic,Dampfzentrale, Bern
DJ Philippe Fierce,2016-12-24,"Hip Hop, R'n'B",Nelson Pub Zürich, Zürich
"DJs Hermes Conrad, Tumult Crew",2016-12-24,"Hip Hop, R'n'B",Kraftfeld, Winterthur
Flatrate Zero Combo,2016-12-24,"Hip Hop, R'n'B",ISC Club, Bern
"DJs K-Rim, O-Kay, ab 21 Jahren",2016-12-24,"Hip Hop, R'n'B",Jade Club, Zürich
"DJs DNO, Dizzy, Hugo R",2016-12-23,"Hip Hop, R'n'B",Vior Club, Zürich
DJ Jorge,2016-12-23,"Ragga, Reggae, African Music, Dancehall",Toro Bar, Zürich
Möchtegang,2016-12-23,"Hip Hop, R'n'B",Salzhaus, Winterthur
New York Ska-Jazz Ensemble,2016-12-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Kammgarn, Schaffhausen
Müslüm,2016-12-23,Pop,Mühle Hunziken, Rubigen
DJ Costa,2016-12-23,"Hip Hop, R'n'B",Akt Niederdorf, Zürich
"The Fags, Scratch (A), Seemannsgarn, DJ X-Lingen-City-Rocker",2016-12-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Galvanik, Zug
Deep Down,2016-12-23,Pop,Brügglibar, Thun
DJ Kes Roc,2016-12-23,"Hip Hop, R'n'B",Bar 59, Luzern
"Leitung: Luiz Alves da Silva & Mathias Weibel, Werke von José Maurício Nunes Garcia",2016-12-23,Classic,Wasserkirche, Zürich
Happy Sound,2016-12-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Bierhalle Wolf, Zürich
Kapelle Sorelle,2016-12-23,Pop,Parterre One, Basel
DJ Seniorr,2016-12-22,"Hip Hop, R'n'B",Propeller-Bar, Bern
DJs Jesaya & Joe Bless,2016-12-22,"Hip Hop, R'n'B",Lexy Club, Zürich
Tuesday Sheep,2016-12-22,"Rock, Indie, Punk, Heavy Metal, Gothic",La Catrina, Zürich
"The Sad Pumpkins, Niculin Janett (voc, sax, cl), Noam Szyfer (g), Lukas Traxel (b), Maxime Paratte (dr)",2016-12-22,"Jazz, Blues, Soul",Eisenwerk, Frauenfeld
"Uzu, Ursula Bachmann (p, voc), Raphael Kalt (tp), Philipp Saner (g), Mischa Frey (b), Marcio de Sousa (dr), Tanja Zimmermann (voc)",2016-12-22,"Jazz, Blues, Soul",Esse Musicbar, Winterthur
Tourabschluss 2016,2016-12-22,Pop,Hotel Murten, Murten
"Easy Listening Music Quartett, Rebecca Spiteri (voc), Jürg Ramspeck (p), Joel Reiff (b), Rolf Lyssy (dr)",2016-12-22,"Jazz, Blues, Soul",Hotel Eden au Lac, Zürich
"Tonhalle-Orchester Zürich, Zürcher Sing-Akademie, Rachel Frenkel (Mezzo-S), Jorge de León (T), Leitung: Omer Meir Wellber, Einstudierung: Andreas Felber, Werke von Ariel Ramírez, Leonard Bernstein, Einführung mit Rebekka Meyer um 18.30 Uhr",2016-12-22,Classic,Tonhalle, Zürich
"Berührende Eigenkompositionen - melancholische und ironische Songs über Liebe, Hoffnung und die kleinen Enttäuschungen im Leben.",2016-12-22,Pop,Le Stecha, Opfikon
"Swiss Jazz Orchestra, Rainer Tempel (comp,arr,dir)",2016-12-21,"Jazz, Blues, Soul",Bierhübeli, Bern
Ueli Schmezer's Matter Live,2016-12-21,Pop,La Cappella, Bern
"Christoph Stiefel, Christoph Stiefel (p), Ganesh Geymeier (sax, cl), Raphael Walser (b), Domi Chansorn (dr)",2016-12-21,"Jazz, Blues, Soul",Labor, Zürich
"Real Talent, hosted by Guillermo Sorya",2016-12-21,Pop,Plaza Zürich, Zürich
Effies Beast,2016-12-21,"Rock, Indie, Punk, Heavy Metal, Gothic",Amboss Rampe, Zürich
K.O.S.Crew,2016-12-21,"Hip Hop, R'n'B",Exil, Zürich
"DJs Acee, A-Damn",2016-12-21,"Hip Hop, R'n'B",Jade Club, Zürich
"Joke Lanz, Vincent Glanzmann, Joke Lanz (electr), Gerry Hemingway (perc), Vincent Glanzmann (perc)",2016-12-20,Electronic,Moods, Zürich
"Malcolm Braff (p), Laboratorium - Konzertreihe für frei improvisierte Musik",2016-12-20,"Jazz, Blues, Soul",Jazzcampus Club, Basel
"Collin Vallon Trio, Collin Vallon (key), Patrice Moret (b), Julian Sartorius (dr)",2016-12-20,"Jazz, Blues, Soul",Mokka, Thun
With Yanti and Kizomba Touch,2016-12-20,"Ragga, Reggae, African Music, Dancehall",Escherwyss, Zürich
