ambigous_result,genre,name,no_result,origin
0,,"SBB Historic Dampffahrten ""150 Jahre Lausanne-Balliswil"". Webcode 91156",1,
0,,Floor I,1,
0,,V17,1,
1,,Velocidad,0,
0,,Lang Lebe Ned Devine,1,
0,,Swiss Army Brass Band auf der Rigi VITZNAU,1,
0,,K51,1,
0,,K52,1,
0,,K53,1,
0,,K54,1,
1,,Tanz,0,
0,,Tanz GSTAAD,1,
0,,Rêverie LIGERZ,1,
0,,20 Jahre Kofmehl,1,
0,,Kill The Rooster,0,
0,,Malko Transport - Van hire splitter for bands - transport zespołów,1,
0,,Rêverie BIEL,1,
0,chillwave,CONNAN MOCKASIN,0,
0,anti-folk,CATE LE BON,0,
0,,Helena Waldmann,1,
0,,Third World Bunfight,1,
0,,Orchestre Philharmonique St,1,
0,swiss rock,Baby Jail,0,
0,dark wave,And Also The Trees,0,
